# 来自 rime_kaomoji_dict (https://github.com/aoguai/rime_kaomoji_dict)
# 整理为不重复的 关键词<TAB>颜文字；同一关键词可对应多个颜文字
偷笑	(￣艸￣)
微笑	(￣︶￣)
zhang	(￣︶￣)↗
大涨	(￣︶￣)↗
kou shui	(￣﹁￣)
嚼	(￣～～￣) 嚼！
jiao	(￣～￣) 嚼！
嗯	(￣ｰ￣)
gui lian	(￫ܫ￩)
鬼脸	(￫ܫ￩)
zhuang sha	* (￣▽￣)" ╮
zi pai	*(੭*ˊᵕˋ)੭*ଘ
自拍美美哒	*(੭*ˊᵕˋ)੭*ଘ
zha ya	*(｡◕‿-｡)"❤
qing zu	*:.☆\<(=￣▽￣=)>//$:*.°★*~
sheng dan	*<|:-)
圣诞	*<|:-)
huan hu	*\ ( ^ v ^ )/*
jia you	*\(^_^)/*
ha ha ha ha	*´∀`)´∀`)*´∀`)*´∀`)
啊哈哈哈	*´∀`)´∀`)*´∀`)*´∀`)
sa hua	*★,°*:.☆(￣▽￣)/$:*.°★* 。
散花	*★,°*:.☆(￣▽￣)/$:*.°★* 。
sa hua	*★,°*:.☆\<(=￣▽￣=)>/$:*.°★* 。
heng	,,Ծ‸Ծ,,
niao	--(˙<>˙)/--
鸟	--(˙<>˙)/--
niao	--\(˙<>˙)/--
zhui sha	--＝＝≡≡〈〈《( /￣皿￣)=0,Ｏ));>o<）/
zhui sha	--＝＝≡≡〈〈《( /￣皿￣)=Ｏ));>o<）/
e	-________-''
eee	-________-''
呃呃呃	-________-''
piao	..((/- -)/
piao guo	..((/- -)/
飘过	..~~((/- -)/
hua	.:*･✿*ﾟ✿.｡ﾟﾟ¨ﾟ*✿･*
喵	/( ◕‿‿◕ )\
lei	/(ㄒoㄒ)/~~
ying ying ying	/(ㄒoㄒ)/~~
ku	//( ㄒ o ㄒ )//
倒	//(っ °Д °;)っ
wan an	0(^o^)~~YA(^0^)~~SU(^○^)~~MI(^_^)
tun	0＾）吞！
吞	0＾）吞！
fu huo	:.;::..;::: .:.;::….;:￣)…:.;:□￣)(￣□￣*)复活!
bie ku	< ( ￣︶￣ ) ╱ ( o 〒﹏〒 o )
mo fa	<( =￣▽￣)o ─═≡※:☆▆▅▄▃▂＿
miao wu	<( >﹏<。=)>
qie	<( ˉ▽￣～)> 切~~
